Dental Services Pricelist for Government sector (Article 11),,,,,,,,,,,
Admitted / Non admitted,SBSCode,SBS code -Hyphenated ,Short Description,Long Description,Block ,Block Description ,Chapter ,Chapter Description ,Department/ Specialty,Price,
Admitted/non-admitted ,925156900,92515-69-00,"Sedation, ASA 69","Sedation, ASA 69",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Non-admitted,971310000,97131-00-00,Dental dietary advice,Dental dietary advice,455,Other preventative dental service,6,Dental services ,Preventive,150,
Non-admitted,971420010,97142-00-10,Tobacco counselling,Tobacco counselling,455,Other preventative dental service,6,Dental services ,Preventive,150,
Non-admitted,971410000,97141-00-00,Oral hygiene instruction,Oral hygiene instruction,455,Other preventative dental service,6,Dental services ,Preventive,150,
Non-admitted,971110000,97111-00-00,Removal of plaque or stain of teeth,Removal of plaque or stain of teeth,453,Dental prophylaxis and bleaching,6,Dental services ,Preventive,600,
Non-admitted,971140000,97114-00-00,R/O calculus from surfaces of teeth and/or implants,Removal of calculus from the surfaces of teeth and/or implants,453,Dental prophylaxis and bleaching,6,Dental services ,Preventive,600,
Non-admitted,971150000,97115-00-00,R/O calculus from surfaces of teeth,Removal of calculus from surfaces of teeth – subsequent appointment,453,Dental prophylaxis and bleaching,6,Dental services ,Preventive,600,
Non-admitted,971160010,97116-00-10,Enamel micro-abrasion,Enamel micro-abrasion; per tooth,453,Dental prophylaxis and bleaching,6,Dental services ,Preventive,300,
Non-admitted,971170010,97117-00-10,"Bleaching, internal","Bleaching, internal; per tooth",453,Dental prophylaxis and bleaching,6,Dental services ,Preventive,700,
Non-admitted,971180010,97118-00-10,"Bleaching, external","Bleaching, external; per tooth",453,Dental prophylaxis and bleaching,6,Dental services ,Preventive,700,
Non-admitted,971190000,97119-00-00,"Bleaching, home application, per arch","Bleaching, home application, per arch",453,Dental prophylaxis and bleaching,6,Dental services ,Preventive,700,
Non-admitted,971210100,97121-01-00,"Topical application of remineralisation agent, 1 treatment","Topical application of remineralisation agent, 1 treatment",454,Topical application of remineralisation and/or cariostatic agent,6,Dental services ,Preventive,200,
Non-admitted,971210200,97121-02-00,"Top applicn of cariostatic agent, 1 treatment ","Topical application of cariostatic agent, 1 treatment",454,Topical application of remineralisation and/or cariostatic agent,6,Dental services ,Preventive,200,
Non-admitted,971230110,97123-01-10,Application of remineralisation or cariostatic agent,"Application of concentrated remineralisation or cariostatic agent, per tooth",454,Topical application of remineralisation and/or cariostatic agent,6,Dental services ,Preventive,200,
Non-admitted,971650100,97165-01-00,"Desensitising procedure, dental","Desensitising procedure, dental",455,Other preventative dental service,6,Dental services ,Preventive,170,
Non-admitted,971710010,97171-00-10,Odontoplasty,Odontoplasty; per tooth,455,Other preventative dental service,6,Dental services ,Preventive,300,
Non-admitted,971610010,97161-00-10,Fissure and/or surface sealing,Fissure and/or surface sealing; per tooth,455,Other preventative dental service,6,Dental services ,Preventive,200,
Non-admitted,979650000,97965-00-00,Fabrication of occlusal splint,Fabrication of occlusal splint,489,Occlusal therapy,6,Dental services ,Preventive,1000,
Non-admitted,979660000,97966-00-00,Adjustment of pre-existing occlusal splint,Adjustment of pre-existing occlusal splint,489,Occlusal therapy,6,Dental services ,Preventive,300,
Non-admitted,973100000,97310-00-00,Facilitating eruption of a malpositioned tooth,Facilitating eruption of a malpositioned tooth; by mobilization,455,Other preventative dental service,6,Dental services ,Preventive,1000,
Non-admitted,971790010,97179-00-10,Other and unsp Preventive dentistry procedure,Other and unspecified Preventive dentistry procedure,455,Other preventative dental service,6,Dental services ,Preventive,100,
Non-admitted,972210000,97221-00-00,"Clinical periodontal analysis & rcrd, full",Clinical periodontal analysis and recording (full mouth),456,Periodontic interventions,6,Dental services ,Periodontics,200,
Non-admitted,972210010,97221-00-10,"Comprehensive periodontal screening, maintenance visit","Comprehensive periodontal screening, maintenance visit",456,Periodontic interventions,6,Dental services ,Periodontics,350,
Non-admitted,972810010,97281-00-10,Generalized scaling & root planning; severe plaque & calculus deposition ,"Generalized scaling and root planning; severe plaque and calculus deposition, first appointment",456,Periodontic interventions,6,Dental services ,Periodontics,600,
Non-admitted,972220010,97222-00-10,Root planning/ subgingival curettage,Root planning with subgingival curettage; per tooth,456,Periodontic interventions,6,Dental services ,Periodontics,600,
Non-admitted,972810020,97281-00-20,Gingival irrigation,Gingival irrigation,456,Periodontic interventions,6,Dental services ,Periodontics,100,
Non-admitted,972130000,97213-00-00,Treatment of acute periodontal infection,Treatment of acute periodontal infection ,456,Periodontic interventions,6,Dental services ,Periodontics,600,
Non-admitted,974311000,97431-10-00,Periodontal curettage & debridement,Periodontal curettage & debridement,463,Periradicular surgery,6,Dental services ,Periodontics,600,
Non-admitted,972510010,97251-00-10,"Periodontal therapy; Supportive tx, per appointment","Periodontal therapy (supportive treatment), per appointment",456,Periodontic interventions,6,Dental services ,Periodontics,500,
Non-admitted,972810060,97281-00-60,"Scaling and debridement in the presence of inflammation or mucositis of an implant, including cleaning of the implant surfaces, without flap entry and closure; per implant","Scaling and debridement in the presence of inflammation or mucositis of an implant, including cleaning of the implant surfaces, without flap entry and closure; per implant",456,Periodontic interventions,6,Dental services ,Periodontics,600,
Non-admitted,973810010,97381-00-10,Surgical exposure of tooth,"Surgical exposure of tooth, unerupted",461,Other dental surgical procedure,6,Dental services ,Periodontics,2000,
