Dental Services Pricelist for Government sector (Article 11),,,,,,,,,,,
Admitted / Non admitted,SBSCode,SBS code -Hyphenated ,Short Description,Long Description,Block ,Block Description ,Chapter ,Chapter Description ,Department/ Specialty,Price,
Admitted,302500000,30250-00-00,"Tot exc parotid gland, preserve fac nrv",Total excision of parotid gland with preservation of facial nerve,397,Excision procedures on salivary gland or duct,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,13000,
Admitted,302530000,30253-00-00,Partial excision of parotid gland,Partial excision of parotid gland,397,Excision procedures on salivary gland or duct,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,7000,
Admitted,302550000,30255-00-00,Excision of submandibular ducts,Excision of submandibular ducts,397,Excision procedures on salivary gland or duct,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,6000,
Admitted,302560000,30256-00-00,Excision of submandibular gland,Excision of submandibular gland,397,Excision procedures on salivary gland or duct,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,7000,
Admitted,302590000,30259-00-00,Excision of sublingual gland,Excision of sublingual gland,397,Excision procedures on salivary gland or duct,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,3000,
Admitted,901380000,90138-00-00,Excision of lesion of salivary gland,Excision of lesion of salivary gland,397,Excision procedures on salivary gland or duct,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,4000,
Non-admitted,458270000,45827-00-00,Excision of mylohyoid ridge of mandible,Excision of mylohyoid ridge of mandible,1364,"Excision procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,4000,
Non-admitted,458290001,45829-00-01,Excision of maxillary tuberosity; uni,Excision of maxillary tuberosity; unilateral,1364,"Excision procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,3000,
Non-admitted,458290002,45829-00-02,Excision of maxillary tuberosity; bil,Excision of maxillary tuberosity; bilateral,1364,"Excision procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,3500,
Admitted/non-admitted ,458250100,45825-01-00,Excision of maxilla or mandible exostosis,Excision of maxilla or mandible exostosis,1364,"Excision procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,2500,
Admitted/non-admitted ,905720010,90572-00-10,Torus palatinus EXC,Torus palatinus excision,1563,Other excision procedures on bone of other musculoskeletal sites,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,4000,
Admitted/non-admitted ,905720020,90572-00-20,Torus mandibularis EXC,Torus mandibularis excision,1563,Other excision procedures on bone of other musculoskeletal sites,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,4000,
Non-admitted,906690010,90669-00-10,Excision of skin for graft for dental or oral maxillofacial procedures other than liposuction 2.5 cm or less,Excision of skin for graft for dental or oral maxillofacial procedures other than liposuction 2.5 cm or less,1634,Other excision procedures on skin and subcutaneous tissue,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,3000,
Non-admitted,906690020,90669-00-20,Excision of skin for graft for dental or oral maxillofacial procedures other than liposuction; each additional 5 cm or lesser,Excision of skin for graft for dental or oral maxillofacial procedures other than liposuction; each additional 5 cm or lesser,1634,Other excision procedures on skin and subcutaneous tissue,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,3000,
Admitted,456680010,45668-00-10,Vermilionectomy (lip shave) w/ mucosal advancement,Vermilionectomy (lip shave) with mucosal advancement,1664,"Excision, lip",16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,10000,
Admitted,456680020,45668-00-20,Vermilionectomy (lip shave) w/o mucosal advancement,Vermilionectomy (lip shave) without or other than  mucosal advancement,1664,"Excision, lip",16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,10000,
Non-admitted,302830010,30283-00-10,Enucleation of mucocele - small  < 2 cm,Enucleation of mucocele - small  < 2 cm,403,Excision or destruction of lesion of mouth or palate,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,2100,
Admitted/non-admitted ,302830020,30283-00-20,Enucleation  of mucocele - large > 2 cm,Enucleation  of mucocele - large > 2 cm,403,Excision or destruction of lesion of mouth or palate,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,2100,
Admitted,906030000,90603-00-00,Sequestrectomy of maxilla,Sequestrectomy of maxilla,1364,"Excision procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,2500,
Admitted,906030100,90603-01-00,Sequestrectomy of mandible,Sequestrectomy of mandible,1364,"Excision procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,2000,
Admitted,399060000,39906-00-00,Craniectomy for infection of skull,Craniectomy for infection of skull,13,Excision of lesion of skull,1,Procedures on nervous system ,Oral and maxillofacial surgery ,10000,
Non-admitted,973380000,97338-00-00,"Reduction of flabby ridge, per segment","Reduction of flabby ridge, per segment",459,Surgery for prosthetics,6,Dental services ,Oral and maxillofacial surgery ,1200,
Non-admitted,973410000,97341-00-00,R/O of hyperplastic tissue,Removal of hyperplastic tissue; per tooth,459,Surgery for prosthetics,6,Dental services ,Oral and maxillofacial surgery ,1200,
Non-admitted,973770020,97377-00-20,R/O of Pericoronal gingiva,Removal of Pericoronal gingiva,460,General surgical dental procedure,6,Dental services ,Oral and maxillofacial surgery ,700,
Non-admitted,973790000,97379-00-00,Marsupialisation of cyst in oral cavity,Marsupialisation of cyst in oral cavity,460,General surgical dental procedure,6,Dental services ,Oral and maxillofacial surgery ,2000,
Non-admitted,520350000,52035-00-00,Endoscopic laser therapy of upper aerodigestive tract,Endoscopic laser therapy of upper aerodigestive tract,419,Destruction procedures on pharynx,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,1500,
Admitted,456050100,45605-01-00,Partial resection of maxilla,Partial resection of maxilla,1700,Resection of maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,30000,
Admitted,456050000,45605-00-00,Partial resection of mandible,Partial resection of mandible,1700,Resection of maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,30000,
Admitted,521200000,52120-00-00,Partial resection of mandible with condylectomy,Partial resection of mandible with condylectomy,1700,Resection of maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,30000,
Admitted,456020100,45602-01-00,"Subtotal resection of maxilla, uni","Subtotal resection of maxilla, unilateral",1700,Resection of maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,30000,
Admitted,456020000,45602-00-00,Subtotal resection of mandible,Subtotal resection of mandible,1700,Resection of maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,30000,
Admitted,455990010,45599-00-10,Radical resection of mandible with bone graft,Radical resection of mandible with bone graft,1699,Resection of mandible,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,30000,
Admitted,455960000,45596-00-00,Total resection of 1 maxilla,"Total resection of maxilla, unilateral",1700,Resection of maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,6000,
Admitted,901390010,90139-00-10,Sialodochoplasty,Sialodochoplasty,398,Repair procedures on salivary gland or duct,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,1000,
Admitted,302690000,30269-00-00,Repair of fistula of salivary gland or duct (Salivary fistulectomy),Repair of fistula of salivary gland or duct (Salivary fistulectomy),398,Repair procedures on salivary gland or duct,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,3500,
Admitted,458370100,45837-01-00,Open vestibuloplasty,Open vestibuloplasty,406,"Other repair procedures on mouth, palate or uvula",5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,3000,
Admitted,458370000,45837-00-00,Submucosal vestibuloplasty,Submucosal vestibuloplasty,406,"Other repair procedures on mouth, palate or uvula",5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,3000,
Admitted,458370120,45837-01-20,Grafting vestibuloplasty,Grafting vestibuloplasty,406,"Other repair procedures on mouth, palate or uvula",5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,9000,
Admitted,458370110,45837-01-10,Secondary epithelialization vestibuloplasty,Secondary epithelialization vestibuloplasty,406,"Other repair procedures on mouth, palate or uvula",5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,9000,
Admitted,901360010,90136-00-10,Lingual frenuloplasty,Lingual frenuloplasty,393,Repair procedures on tongue,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,9000,
Admitted,901390000,90139-00-00,Other repair of salivary gland or duct,Other repair of salivary gland or duct,398,Repair procedures on salivary gland or duct,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,7000,
Admitted,901420100,90142-01-00,Other repair of palate,Other repair of palate,406,"Other repair procedures on mouth, palate or uvula",5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,4000,
Non-admitted,973770000,97377-00-00,Dental tx inv R/O or repair soft tissue NEC,"Dental treatment involving removal or repair of soft tissue, not elsewhere classified",460,General surgical dental procedure,6,Dental services ,Oral and maxillofacial surgery ,600,
Admitted,906790000,90679-00-00,"Osteotomy of zygoma, uni","Osteotomy of zygoma, unilateral",1703,Osteotomy or ostectomy of zygoma,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,30000,
Admitted,906790100,90679-01-00,"Osteotomy of zygoma, bil","Osteotomy of zygoma, bilateral",1703,Osteotomy or ostectomy of zygoma,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,35000,
Admitted,906800000,90680-00-00,"Osteotomy of zygoma w int fixation, uni","Osteotomy of zygoma with internal fixation, unilateral",1704,Osteotomy or ostectomy of zygoma with internal fixation,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,40000,
Admitted,906800100,90680-01-00,"Osteotomy of zygoma w int fixation, bil","Osteotomy of zygoma with internal fixation, bilateral",1704,Osteotomy or ostectomy of zygoma with internal fixation,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,45000,
Admitted,906790200,90679-02-00,"Ostectomy of zygoma, uni","Ostectomy of zygoma, unilateral",1703,Osteotomy or ostectomy of zygoma,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,30000,
Admitted,906790300,90679-03-00,"Ostectomy of zygoma, bil","Ostectomy of zygoma, bilateral",1703,Osteotomy or ostectomy of zygoma,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,35000,
Admitted,906800200,90680-02-00,"Ostectomy of zygoma w int fixation, uni","Ostectomy of zygoma with internal fixation, unilateral",1704,Osteotomy or ostectomy of zygoma with internal fixation,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,40000,
Admitted,906800300,90680-03-00,"Ostectomy of zygoma w int fixation, bil","Ostectomy of zygoma with internal fixation, bilateral",1704,Osteotomy or ostectomy of zygoma with internal fixation,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,45000,
Admitted,457200110,45720-01-10,Segmental osteotomy,Segmental osteotomy,1705,Osteotomy or ostectomy of mandible or maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,90000,
Admitted,457200100,45720-01-00,"Osteotomy of maxilla, uni","Osteotomy of maxilla, unilateral",1705,Osteotomy or ostectomy of mandible or maxilla with internal fixation,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,7000,
Admitted,457260100,45726-01-00,"Osteotomy maxilla, bil","Osteotomy of maxilla, bilateral",1705,Osteotomy or ostectomy of mandible or maxilla with internal fixation,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,23000,
Admitted,457230100,45723-01-00,"Osteotomy maxilla w IF, uni","Osteotomy of maxilla with internal fixation, unilateral",1706,Osteotomy or ostectomy of mandible or maxilla with internal fixation,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,90000,
Admitted,457290100,45729-01-00,"Osteotomy maxilla w IF, bil","Osteotomy of maxilla with internal fixation, bilateral",1706,Osteotomy or ostectomy of mandible or maxilla with internal fixation,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,16000,
Admitted,457200000,45720-00-00,"Osteotomy of mandible, uni","Osteotomy of mandible, unilateral",1705,Osteotomy or ostectomy of mandible or maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,7000,
Admitted,457260000,45726-00-00,"Osteotomy of mandible, bil","Osteotomy of mandible, bilateral",1705,Osteotomy or ostectomy of mandible or maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,7000,
Admitted,457230000,45723-00-00,"Osteotomy mandible with IF, uni","Osteotomy of mandible with internal fixation, unilateral",1706,Osteotomy or ostectomy of mandible or maxilla with internal fixation,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,9000,
Admitted,457290000,45729-00-00,"Osteotomy mandible with IF, bil","Osteotomy of mandible with internal fixation, bilateral",1706,Osteotomy or ostectomy of mandible or maxilla with internal fixation,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,90000,
Admitted,457200300,45720-03-00,"Ostectomy of maxilla, uni","Ostectomy of maxilla, unilateral",1705,Osteotomy or ostectomy of mandible or maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,6000,
Admitted,457260300,45726-03-00,"Ostectomy of maxilla, bil","Ostectomy of maxilla, bilateral",1705,Osteotomy or ostectomy of mandible or maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,90000,
Admitted,457230300,45723-03-00,"Ostectomy maxilla with IF, uni","Ostectomy of maxilla with internal fixation, unilateral",1706,Osteotomy or ostectomy of mandible or maxilla with internal fixation,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,90000,
Admitted,457290300,45729-03-00,"Ostectomy maxilla with IF, bil","Ostectomy of maxilla with internal fixation, bilateral",1706,Osteotomy or ostectomy of mandible or maxilla with internal fixation,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,90000,
Admitted,457200200,45720-02-00,"Ostectomy of mandible, uni","Ostectomy of mandible, unilateral",1705,Osteotomy or ostectomy of mandible or maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,2000,
Admitted,457260200,45726-02-00,"Ostectomy of mandible, bil","Ostectomy of mandible, bilateral",1705,Osteotomy or ostectomy of mandible or maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,6000,
Admitted,457230200,45723-02-00,"Ostectomy mandible with IF, uni","Ostectomy of mandible with internal fixation, unilateral",1706,Osteotomy or ostectomy of mandible or maxilla with internal fixation,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,90000,
Admitted,457290200,45729-02-00,"Ostectomy mandible with IF, bil","Ostectomy of mandible with internal fixation, bilateral",1706,Osteotomy or ostectomy of mandible or maxilla with internal fixation,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,90000,
Admitted,457310100,45731-01-00,Osteo/ostectomies maxilla <= 3 proc,"Osteotomies or ostectomies of maxilla, less than or equal to 3 procedures",1707,"Osteotomy or ostectomy of mandible or maxilla, procedures in combination",16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,90000,
Admitted,457310000,45731-00-00,Osteo/ostectomies mandible <= 3 proc,"Osteotomies or ostectomies of mandible, less than or equal to 3 procedures",1707,"Osteotomy or ostectomy of mandible or maxilla, procedures in combination",16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,90000,
Admitted,457350000,45735-00-00,4 Osteo/ostectomies mandible & maxilla,"Osteotomies or ostectomies of mandible and maxilla, 4 procedures",1707,"Osteotomy or ostectomy of mandible or maxilla, procedures in combination",16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,90000,
Admitted,457470010,45747-00-10,"Osteo/ostectomies mandible & maxilla beyond 4 procedures, each additional procedure","Osteotomies or Ostectomies mandible & maxilla beyond 4 procedures, each additional procedure",1707,"Osteotomy or ostectomy of mandible or maxilla, procedures in combination",16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,90000,
Admitted,457320100,45732-01-00,<= 3 Osteo/ostectomies maxilla w IF,"Osteotomies or ostectomies of maxilla, less than or equal to 3 procedures, with internal fixation",1708,"Osteotomy or ostectomy of mandible or maxilla with internal fixation, procedures in combination",16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,1200,
Admitted,457320000,45732-00-00,<= 3 Osteo/ostectomies mandible w IF,"Osteotomies or ostectomies of mandible, less than or equal to 3 procedures, with internal fixation",1708,"Osteotomy or ostectomy of mandible or maxilla with internal fixation, procedures in combination",16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,90000,
Admitted,457380000,45738-00-00,4 Osteo/ostectomies mand & maxilla w IF,"Osteotomies or ostectomies of mandible and maxilla, 4 procedures, with internal fixation",1708,"Osteotomy or ostectomy of mandible or maxilla with internal fixation, procedures in combination",16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,90000,
Admitted,457520010,45752-00-10,"Osteo/ostectomies mandible & maxilla beyond 4 procedures; with internal fixation, each additional procedure","Osteotomies or Ostectomies mandible & maxilla beyond 4 procedures; with internal fixation, each additional procedure",1708,"Osteotomy or ostectomy of mandible or maxilla with internal fixation, procedures in combination",16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,90000,
Admitted,457540000,45754-00-00,Midfacial osteotomies with IF,Midfacial osteotomies with internal fixation,1709,Midfacial osteotomies,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,25000,
Admitted,457200210,45720-02-10,Coronoidectomy,Coronoidectomy,1705,Osteotomy or ostectomy of mandible or maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,1500,
Admitted,457260110,45726-01-10,Total LeFort I surgery,Total LeFort I surgery,1705,Osteotomy or ostectomy of mandible or maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,25000,
Admitted,457260120,45726-01-20,Segmented LeFort I surgery,Segmented LeFort I surgery,1705,Osteotomy or ostectomy of mandible or maxilla,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,15000,
Admitted,457530000,45753-00-00,LeFort II / LeFort III surgery,LeFort II or LeFort III surgery,1709,Midfacial osteotomies,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,25000,
Admitted,520960001,52096-00-01,"Insertion of pin or wire into maxilla, mandible or zygoma, uni","Insertion of pin or wire into maxilla, mandible or zygoma, unilateral",1360,"Application, insertion or removal procedures of head",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,6000,
Admitted,520960002,52096-00-02,"Insertion of pin or wire into maxilla, mandible or zygoma, bil","Insertion of pin or wire into maxilla, mandible or zygoma, bilateral",1360,"Application, insertion or removal procedures of head",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,2000,
Non-admitted,520960010,52096-00-10,Temporary anchorage screw; retained plate PL and R/O w flap,"Temporary anchorage screw retained plate placement and removal, requiring flap",1360,"Application, insertion or removal procedures of head",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,6000,
Non-admitted,520960020,52096-00-20,Temporary anchorage device PL and R/O w flap,"Temporary anchorage device placement and removal, requiring flap",1360,"Application, insertion or removal procedures of head",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,4000,
Admitted,534000000,53400-00-00,Immobils fracture maxilla wo splinting,Immobilisation of fracture of maxilla without splinting,1360,"Application, insertion or removal procedures of head",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,534030000,53403-00-00,Immobils fracture mandible wo splinting,Immobilisation of fracture of mandible without splinting,1360,"Application, insertion or removal procedures of head",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,534100000,53410-00-00,Immobilisation of fracture of zygoma,Immobilisation of fracture of zygoma,1360,"Application, insertion or removal procedures of head",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,524200010,52420-00-10,Ex fix maxilla,External fixation of maxilla,1361,External fixation of mandible,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,50000,
Admitted,477530001,47753-00-01,"Close rdctn fx maxilla w fix, uni","Closed reduction of fracture of maxilla with fixation, unilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,3000,
Admitted,477530002,47753-00-02,"Close rdctn fx maxilla w fix, bil","Closed reduction of fracture of maxilla with fixation, bilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,60000,
Admitted,477770021,47777-00-21,Open rdctn of maxillary fracture w teeth immobilization,"Open reduction of maxillary fracture with teeth immobilization, unilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,4500,
Admitted,477770022,47777-00-22,Open rdctn of maxillary fracture w teeth immobilization,"Open reduction of maxillary fracture with teeth immobilization, bilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,4500,
Admitted,477740001,47774-00-01,"Open reduction of fracture of maxilla, uni","Open reduction of fracture of maxilla, unilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,477740002,47774-00-02,"Open reduction of fracture of maxilla, bil","Open reduction of fracture of maxilla, bilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,60000,
Admitted,477860001,47786-00-01,"Open rdctn fx maxilla W/ IF, uni; uni","Open reduction of fracture of maxilla with internal fixation, unilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,477860002,47786-00-02,"Open rdctn fx maxilla W/ IF, uni; bil","Open reduction of fracture of maxilla with internal fixation, bilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,80000,
Admitted,534240001,53424-00-01,"Open rdctn complicated fx maxilla, uni","Open reduction of complicated fracture of maxilla, unilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,8000,
Admitted,534240002,53424-00-02,"Open rdctn complicated fx maxilla, bil","Open reduction of complicated fracture of maxilla, bilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,12000,
Admitted,534270001,53427-00-01,"Open rdctn compl fx maxilla W/ IF, uni; uni","Open reduction of complicated fracture of maxilla with internal fixation, unilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,12000,
Admitted,534270002,53427-00-02,"Open rdctn compl fx maxilla W/ IF, uni; bil","Open reduction of complicated fracture of maxilla with internal fixation, bilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,80000,
Admitted,477560001,47756-00-01,"Close rdctn fx mand w fix, uni","Closed reduction of fracture of mandible with fixation, unilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,477560002,47756-00-02,"Close rdctn fx mand w fix, bil","Closed reduction of fracture of mandible with fixation, bilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,477770011,47777-00-11,Open rdctn of mandibular fracture w teeth immobilization,"Open reduction of mandibular fracture with teeth immobilization, unilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,4000,
Admitted,477770012,47777-00-12,Open rdctn of mandibular fracture w teeth immobilization,"Open reduction of mandibular fracture with teeth immobilization, bilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,4000,
Admitted,477770001,47777-00-01,"Open reduction of fracture of mandible, uni","Open reduction of fracture of mandible, unilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,477770002,47777-00-02,"Open reduction of fracture of mandible, bil","Open reduction of fracture of mandible, bilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,10000,
Admitted,477890001,47789-00-01,"Open rdctn fx mandible w IF, uni","Open reduction of fracture of mandible with internal fixation, unilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,10000,
Admitted,477890002,47789-00-02,"Open rdctn fx mandible w IF, bil","Open reduction of fracture of mandible with internal fixation, bilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,10000,
Admitted,534250001,53425-00-01,"Open rdctn comp fx mandible, uni","Open reduction of complicated fracture of mandible, unilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,18000,
Admitted,534250002,53425-00-02,"Open rdctn comp fx mandible, bil","Open reduction of complicated fracture of mandible, bilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,60000,
Admitted,534290001,53429-00-01,"Open rdctn complic fx mandible w IF, uni","Open reduction of complicated fracture of mandible with internal fixation, unilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,18000,
Admitted,534290002,53429-00-02,"Open rdctn complic fx mandible w IF, bil","Open reduction of complicated fracture of mandible with internal fixation, bilateral",1366,Reduction of fracture of mandible or maxilla,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,60000,
Admitted,905300100,90530-01-00,Open rdctn alveolar bone fx W/ or W/O teeth splinting,Open reduction of alveolar bone fracture with or without teeth splinting,1367,Reduction of fracture of mandibular or maxillary alveolar ridge,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,477620101,47762-01-01,"Close rdctn fx zyg bone w fix, uni","Closed reduction of fracture of zygomatic bone with fixation, unilateral",1368,Reduction of fracture of zygomatic bone,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,3000,
Admitted,477620102,47762-01-02,"Close rdctn fx zyg bone w fix, bil","Closed reduction of fracture of zygomatic bone with fixation, bilateral",1368,Reduction of fracture of zygomatic bone,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,3000,
Admitted,477620001,47762-00-01,"Open rdctn fx zygomatic bone, uni","Open reduction of fracture of zygomatic bone, unilateral",1368,Reduction of fracture of zygomatic bone,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,4500,
Admitted,477620002,47762-00-02,"Open rdctn fx zygomatic bone, bil","Open reduction of fracture of zygomatic bone, bilateral",1368,Reduction of fracture of zygomatic bone,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,60000,
Admitted,477650001,47765-00-01,"Open rdctn fx zyg bone W/ ex fix, 1, uni","Open reduction of fracture of zygomatic bone with external fixation, 1 site, unilateral",1368,Reduction of fracture of zygomatic bone,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,4500,
Admitted,477650011,47765-00-11,"Open rdctn fx zyg bone W/ ex fix, each addtnl site, uni","Open reduction of fracture of zygomatic bone with external fixation, each additional site, unilateral",1368,Reduction of fracture of zygomatic bone,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,70000,
Admitted,477650002,47765-00-02,"Open rdctn fx zyg bone W/ ex fix, 1,bil","Open reduction of fracture of zygomatic bone with external fixation, 1 site, bilateral",1368,Reduction of fracture of zygomatic bone,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,80000,
